Series,InstanceType,CPU,Memory,Price
ecs.t5-c1m2.xlarge,4,8.0,0.5773,t5-c1m2,t
ecs.t6-c4m1.large,2,0.5,0.0565,t6-c4m1,t
ecs.t5-c1m1.4xlarge,16,16.0,1.6375,t5-c1m1,t
ecs.t6-c1m4.xlarge,4,16.0,1.3213,t6-c1m4,t
ecs.t5-c1m4.large,2,8.0,0.4936,t5-c1m4,t
ecs.t5-lc1m2.large,2,4.0,0.2518,t5-lc1m2,t
ecs.t6-c1m4.2xlarge,8,32.0,2.6233,t6-c1m4,t
ecs.u1-c1m2.3xlarge,12,24.0,,u1-c1m2,u
ecs.u1-c1m4.xlarge,4,16.0,,u1-c1m4,u
ecs.u1-c1m2.2xlarge,8,16.0,,u1-c1m2,u
ecs.u1-c1m1.2xlarge,8,8.0,,u1-c1m1,u
ecs.u1-c1m4.large,2,8.0,,u1-c1m4,u
ecs.u1-c1m2.large,2,4.0,,u1-c1m2,u
ecs.u1-c1m2.4xlarge,16,32.0,,u1-c1m2,u
ecs.u1-c1m1.large,2,2.0,,u1-c1m1,u
ecs.u1-c1m1.xlarge,4,4.0,,u1-c1m1,u
ecs.u1-c1m1.3xlarge,12,12.0,,u1-c1m1,u
ecs.u1-c1m4.3xlarge,12,48.0,,u1-c1m4,u
ecs.u1-c1m8.4xlarge,16,128.0,,u1-c1m8,u
ecs.u1-c1m2.xlarge,4,8.0,,u1-c1m2,u
ecs.u1-c1m8.3xlarge,12,96.0,,u1-c1m8,u
ecs.u1-c1m8.large,2,16.0,,u1-c1m8,u
ecs.u1-c1m8.2xlarge,8,64.0,,u1-c1m8,u
ecs.u1-c1m8.xlarge,4,32.0,,u1-c1m8,u
ecs.u1-c1m1.4xlarge,16,16.0,,u1-c1m1,u
ecs.u1-c1m4.4xlarge,16,64.0,,u1-c1m4,u
ecs.u1-c1m2.8xlarge,32,64.0,,u1-c1m2,u
ecs.u1-c1m4.8xlarge,32,128.0,,u1-c1m4,u
ecs.u1-c1m4.2xlarge,8,32.0,,u1-c1m4,u
ecs.u1-c1m1.8xlarge,32,32.0,,u1-c1m1,u
ecs.u1-c1m2.3xlarge,12,24.0,,u1-c1m2,u
ecs.u1-c1m8.4xlarge,16,128.0,,u1-c1m8,u
ecs.u1-c1m2.xlarge,4,8.0,,u1-c1m2,u
ecs.u1-c1m4.xlarge,4,16.0,,u1-c1m4,u
ecs.u1-c1m2.2xlarge,8,16.0,,u1-c1m2,u
ecs.u1-c1m8.3xlarge,12,96.0,,u1-c1m8,u
ecs.u1-c1m1.2xlarge,8,8.0,,u1-c1m1,u
ecs.u1-c1m4.large,2,8.0,,u1-c1m4,u
ecs.u1-c1m8.large,2,16.0,,u1-c1m8,u
ecs.u1-c1m8.8xlarge,32,256.0,,u1-c1m8,u
ecs.u1-c1m2.large,2,4.0,,u1-c1m2,u
ecs.u1-c1m8.2xlarge,8,64.0,,u1-c1m8,u
ecs.u1-c1m2.4xlarge,16,32.0,,u1-c1m2,u
ecs.u1-c1m1.large,2,2.0,,u1-c1m1,u
ecs.u1-c1m8.xlarge,4,32.0,,u1-c1m8,u
ecs.u1-c1m1.4xlarge,16,16.0,,u1-c1m1,u
ecs.u1-c1m1.xlarge,4,4.0,,u1-c1m1,u
ecs.u1-c1m1.3xlarge,12,12.0,,u1-c1m1,u
ecs.u1-c1m4.4xlarge,16,64.0,,u1-c1m4,u
ecs.u1-c1m2.8xlarge,32,64.0,,u1-c1m2,u
ecs.u1-c1m4.3xlarge,12,48.0,,u1-c1m4,u
ecs.u1-c1m4.8xlarge,32,128.0,,u1-c1m4,u
ecs.u1-c1m4.2xlarge,8,32.0,,u1-c1m4,u
ecs.u1-c1m1.8xlarge,32,32.0,,u1-c1m1,u
ecs.u1-c1m2.3xlarge,12,24.0,,u1-c1m2,u
ecs.u1-c1m4.xlarge,4,16.0,,u1-c1m4,u
ecs.u1-c1m2.2xlarge,8,16.0,,u1-c1m2,u
ecs.u1-c1m1.2xlarge,8,8.0,,u1-c1m1,u
ecs.u1-c1m4.large,2,8.0,,u1-c1m4,u
ecs.u1-c1m8.8xlarge,32,256.0,,u1-c1m8,u
ecs.u1-c1m2.large,2,4.0,,u1-c1m2,u
ecs.u1-c1m2.4xlarge,16,32.0,,u1-c1m2,u
ecs.u1-c1m1.large,2,2.0,,u1-c1m1,u
ecs.u1-c1m1.xlarge,4,4.0,,u1-c1m1,u
ecs.u1-c1m1.3xlarge,12,12.0,,u1-c1m1,u
ecs.u1-c1m4.3xlarge,12,48.0,,u1-c1m4,u
ecs.u1-c1m8.4xlarge,16,128.0,,u1-c1m8,u
ecs.u1-c1m2.xlarge,4,8.0,,u1-c1m2,u
ecs.u1-c1m8.3xlarge,12,96.0,,u1-c1m8,u
ecs.u1-c1m8.large,2,16.0,,u1-c1m8,u
ecs.u1-c1m8.2xlarge,8,64.0,,u1-c1m8,u
ecs.u1-c1m8.xlarge,4,32.0,,u1-c1m8,u
ecs.u1-c1m1.4xlarge,16,16.0,,u1-c1m1,u
ecs.u1-c1m4.4xlarge,16,64.0,,u1-c1m4,u
ecs.u1-c1m2.8xlarge,32,64.0,,u1-c1m2,u
ecs.u1-c1m4.8xlarge,32,128.0,,u1-c1m4,u
ecs.u1-c1m4.2xlarge,8,32.0,,u1-c1m4,u
ecs.u1-c1m1.8xlarge,32,32.0,,u1-c1m1,u
