Series,InstanceType,CPU,Memory,Price
ecs.ebmhfc6.20xlarge,80,192.0,30.81,ebmhfc6,e
ecs.e-c4m1.large,2,0.5,,e-c4m1,e
ecs.ebmr6.26xlarge,104,768.0,58.77,ebmr6,e
ecs.e-c1m2.xlarge,4,8.0,,e-c1m2,e
ecs.ebmc6.26xlarge,104,192.0,34.85,ebmc6,e
ecs.g7nex.xlarge,4,16.0,,g7nex,g
ecs.g8a.xlarge,4,16.0,,g8a,g
ecs.g7.8xlarge,32,128.0,,g7,g
ecs.g8y.4xlarge,16,64.0,,g8y,g
ecs.g8i.large,2,8.0,,g8i,g
ecs.g8i.6xlarge,24,96.0,,g8i,g
ecs.g8i.48xlarge,192,1024.0,,g8i,g
ecs.g7se.8xlarge,32,128.0,,g7se,g
ecs.g7a.xlarge,4,16.0,,g7a,g
ecs.g7.32xlarge,128,512.0,,g7,g
ecs.g6.4xlarge,16,64.0,6.3468,g6,g
ecs.g6.large,2,8.0,0.8021,g6,g
ecs.g8y.small,1,4.0,,g8y,g
ecs.g7.3xlarge,12,48.0,,g7,g
ecs.g8i.3xlarge,12,48.0,,g8i,g
ecs.g7.4xlarge,16,64.0,,g7,g
ecs.g8a.48xlarge,192,768.0,,g8a,g
ecs.g7.large,2,8.0,,g7,g
ecs.gn6e-c12g1.3xlarge,12,92.0,29.152,gn6e-c12g1,g
ecs.g8i.8xlarge,32,128.0,,g8i,g
ecs.g5ne.xlarge,4,16.0,1.8007449,g5ne,g
ecs.g7a.8xlarge,32,128.0,,g7a,g
ecs.g7.6xlarge,24,96.0,,g7,g
ecs.g7a.2xlarge,8,32.0,,g7a,g
ecs.g8a.32xlarge,128,512.0,,g8a,g
ecs.g8y.16xlarge,64,256.0,,g8y,g
ecs.g7t.xlarge,4,16.0,,g7t,g
ecs.g8i.12xlarge,48,192.0,,g8i,g
ecs.g8y.2xlarge,8,32.0,,g8y,g
ecs.g6.2xlarge,8,32.0,3.1784,g6,g
ecs.g8a.24xlarge,96,384.0,,g8a,g
ecs.g8i.4xlarge,16,64.0,,g8i,g
